BAY_SEG,basin,YEAR,dpsh2o,ipsh2o,npsh2o,total,mean9294
1,02306647,1992,0,0,10.88811936,10.88811936,14.51377386
1,02306647,1993,0,0,10.37123118,10.37123118,14.51377386
1,02306647,1994,0,0,22.28197104,22.28197104,14.51377386
1,02307000,1992,3.4914869341,0,18.779031,22.270517934,22.110679192
1,02307000,1993,2.9038188907,0,13.8332664,16.737085291,22.110679192
1,02307000,1994,3.2032338602,0,24.121200492,27.324434352,22.110679192
1,02307359,1992,0.4226791183,0,3.9514799844,4.3741591027,5.0966348975
1,02307359,1993,0.4391112695,0,4.19460336,4.6337146295,5.0966348975
1,02307359,1994,0.4375232885,0,5.8445076717,6.2820309602,5.0966348975
1,206-1,1992,39.949119868,0.1970247159,49.635782784,89.781927367,100.36962759
1,206-1,1993,47.126128445,0.0706996761,46.706071841,93.902899961,100.36962759
1,206-1,1994,47.723311118,0.0449007383,69.655843595,117.42405545,100.36962759
1,LTARPON,,0,0,0,0,19.76648318
1,LTARPON,1992,0.4319308337,0,40.260881011,40.692811844,19.76648318
1,LTARPON,1993,0.4332426441,0,27.897511197,28.330753841,19.76648318
1,LTARPON,1994,0.5635951719,0,9.4787718642,10.042367036,19.76648318
2,02300700,1992,0.0961764149,0,46.260140505,46.35631692,43.86731177
2,02300700,1993,0.0959002442,0,25.138655076,25.23455532,43.86731177
2,02300700,1994,0.0998356754,0,59.911227395,60.011063071,43.86731177
2,02301500,1992,2.9370514208,17.746815441,117.94628674,138.6301536,224.44105066
2,02301500,1993,2.8638892234,58.308246056,163.80437472,224.97651,224.44105066
2,02301500,1994,3.3493050985,48.842314292,257.524869,309.71648839,224.44105066
2,02301695,1992,0,0,3.8971542734,3.8971542734,3.8624137208
2,02301695,1993,0,0,2.6424143245,2.6424143245,3.8624137208
2,02301695,1994,0,0,5.0476725645,5.0476725645,3.8624137208
2,02301750,1992,0,0,8.594474544,8.594474544,8.659674348
2,02301750,1993,0,0,5.764604724,5.764604724,8.659674348
2,02301750,1994,0,0,11.619943776,11.619943776,8.659674348
2,02304500,1992,5.2066214919,3.9311275307,34.26132374,43.399072763,116.38305092
2,02304500,1993,5.0419547659,3.526399502,44.982408922,53.55076319,116.38305092
2,02304500,1994,6.3316715135,3.9583763642,241.90926893,252.19931681,116.38305092
2,204-2,1992,0.2527099165,1.1768320109,22.06285853,23.492400458,22.087015697
2,204-2,1993,0.2632596338,0.8561864259,15.511205939,16.630651998,22.087015697
2,204-2,1994,0.1475165312,0.228255009,25.762223096,26.137994636,22.087015697
2,205-2,1992,0,0.3398800625,13.755040668,14.09492073,16.91179986
2,205-2,1993,0,0.2402334489,12.089082482,12.329315931,16.91179986
2,205-2,1994,0,0.3009141156,24.010248803,24.311162919,16.91179986
2,206-2,1992,78.025285641,16.411719029,21.971376785,116.40838146,118.73891681
2,206-2,1993,75.896631624,15.707228056,17.970323455,109.57418313,118.73891681
2,206-2,1994,81.502319647,17.86021397,30.871652212,130.23418583,118.73891681
2,TBYPASS,1992,0,0,11.210583703,11.210583703,11.544128919
2,TBYPASS,1993,0,0,8.3722326311,8.3722326311,11.544128919
2,TBYPASS,1994,0,0,15.049570424,15.049570424,11.544128919
3,02300500,1992,0,8.7552872494,180.77786159,189.53314884,189.50510008
3,02300500,1993,0,7.7235368655,100.06371597,107.78725284,189.50510008
3,02300500,1994,0,39.163213339,232.03168521,271.19489855,189.50510008
3,02300530,1992,1.2462198766,0,3.796983024,5.0432029006,4.4251175494
3,02300530,1993,0.9603142529,0,2.5982999919,3.5586142448,4.4251175494
3,02300530,1994,0.7112083628,0,3.9623271398,4.6735355027,4.4251175494
3,203-3,1992,0,0,41.235543696,41.235543696,37.672699646
3,203-3,1993,0,0,27.303474261,27.303474261,37.672699646
3,203-3,1994,0,0,44.47908098,44.47908098,37.672699646
3,206-3C,1992,0.6059183179,0,4.4537508851,5.059669203,5.2818522086
3,206-3C,1993,0.5001449743,0,4.0336952101,4.5338401844,5.2818522086
3,206-3C,1994,0.4728040839,0,5.7792431545,6.2520472384,5.2818522086
3,206-3E,1992,0,15.240014816,8.45951733,23.699532146,21.590762893
3,206-3E,1993,0,13.554798741,6.2428655987,19.79766434,21.590762893
3,206-3E,1994,0,10.374348956,10.900743237,21.275092194,21.590762893
3,206-3W,1992,12.523488757,0,17.422660106,29.946148863,32.320755275
3,206-3W,1993,14.146504008,0,16.860550378,31.007054386,32.320755275
3,206-3W,1994,13.912884985,0,22.096177591,36.009062576,32.320755275
4,206-4,1992,1.4206216167,0.195666877,41.126864675,42.743153168,35.967741628
4,206-4,1993,1.7503693248,0.0065222292,26.430911345,28.187802899,35.967741628
4,206-4,1994,1.6911997716,0.0326111462,35.2484579,36.972268818,35.967741628
5,206-5,1992,1.1577955708,0,0,1.1577955708,1.2506279738
5,206-5,1993,1.3078432056,0,0,1.3078432056,1.2506279738
5,206-5,1994,1.286245145,0,0,1.286245145,1.2506279738
5,207-5,,0,0,0,0,25.081659229
5,207-5,1992,2.5278536629,0,28.425901506,30.953755169,25.081659229
5,207-5,1993,2.8554576656,0,26.904593405,29.760051071,25.081659229
5,207-5,1994,2.8083018999,0,36.804528778,39.612830678,25.081659229
55,202-7,1992,9.8032281353,1.3705311724,118.28041048,129.45416979,99.027683832
55,202-7,1993,9.3517122025,1.6279336878,60.153412382,71.133058272,99.027683832
55,202-7,1994,9.9176778388,1.9365658513,84.641579743,96.495823433,99.027683832
55,206-5,1992,0,0,1.7921390493,1.7921390493,1.841314963
55,206-5,1993,0,0,1.6261120505,1.6261120505,1.841314963
55,206-5,1994,0,0,2.1056937892,2.1056937892,1.841314963
55,206-6,1992,1.5411470736,0,10.264324683,11.805471757,9.7952380763
55,206-6,1993,1.5907427123,0,5.9479251883,7.5386679007,9.7952380763
55,206-6,1994,1.5490869787,0,8.4924875929,10.041574572,9.7952380763
55,207-5,1992,0,0,3.1865334429,3.1865334429,3.4427677891
55,207-5,1993,0,0,3.0159953461,3.0159953461,3.4427677891
55,207-5,1994,0,0,4.1257745783,4.1257745783,3.4427677891
55,EVERSRES,1992,0,0,59.484822445,59.484822445,43.838579565
55,EVERSRES,1993,0,0,31.728292775,31.728292775,43.838579565
55,EVERSRES,1994,0,0,40.302623475,40.302623475,43.838579565
55,LMANATEE,1992,0,0,65.875424049,65.875424049,70.767694033
55,LMANATEE,1993,0,0,83.113110376,83.113110376,70.767694033
55,LMANATEE,1994,0,0,63.314547673,63.314547673,70.767694033
