Requested report - WIN WAVES
MONITORING LOCATION ID - LOCATION NAME = UM2 - UM-2, ER2 - ER-2ACTIVITY START DATE TIME =  FROM:  01/01/2021 TO:  12/31/2023
Report Run on MARCH 20, 2024The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9077693"|"Ammonia (N)"|"0.009"|""|"mg/L"|"0.008"|"0.035"|"I"|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9076887"|"Escherichia coli (MPN)"|"1"|""|"MPN/100 mL"|"1"|"1"|"U"|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9078968"|"Phosphorus- Total"|"0.343"|""|"mg/L"|"0.019"|"0.08"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9080053"|"Nitrogen- Total Kjeldahl"|"0.833"|""|"mg/L"|"0.064"|"0.2"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9078124"|"Turbidity"|"1.9"|""|"NTU"|"0.1"|"0.1"|""|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9079044"|"Residues- Nonfilterable (TSS)"|"1.6"|""|"mg/L"|"0.625"|"2.5"|"I"|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9077286"|"Chlorophyll a, free of pheophytin"|"8.5"|""|"ug/L"|"1"|"1"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9079739"|"Color- True"|"60"|""|"PCU"|"10"|"10"|""|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9080290"|"Coliform Fecal (MPN)"|"2"|""|"MPN/100 mL"|"1"|"1"|""|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21012601-01"|"Sample"|"01/27/2021 09:28:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9077822"|"Nitrate-Nitrite (N)"|"0.258"|""|"mg/L"|"0.009"|"0.04"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9077878"|"Coliform Fecal (MPN)"|"1"|""|"MPN/100 mL"|"1"|"1"|"U"|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9076314"|"Color- True"|"95"|""|"PCU"|"5"|"5"|""|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9077957"|"Turbidity"|"2.7"|""|"NTU"|"0.1"|"0.1"|""|""|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9076351"|"Nitrogen- Total Kjeldahl"|"0.559"|""|"mg/L"|"0.064"|"0.2"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9076487"|"Residues- Nonfilterable (TSS)"|"2.6"|""|"mg/L"|"0.625"|"0.625"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9079025"|"Nitrate-Nitrite (N)"|"0.252"|""|"mg/L"|"0.009"|"0.04"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9081523"|"Phosphorus- Total"|"0.304"|""|"mg/L"|"0.019"|"0.08"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9079256"|"Chlorophyll a, free of pheophytin"|"2.3"|""|"ug/L"|"1"|"1"|""|"Total"|"E44247"|""|""
"21FLMANA"|"UM2"|"1807E"|"S21030901-01"|"Sample"|"03/10/2021 09:29:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"MANATEE CO. PARKS AND NATURAL RESOURCES DEPT."|"0.3"|"m"|""|""|""|"9079903"|"Escherichia coli (MPN)"|"1"|""|"MPN/100 mL"|"1"|"1"|"U"|""|"E44247"|""|""
