target,targ_x,targ_y
1,344902.2,3080488
1,343260.7,3080509
1,348208.3,3082293
1,346567.1,3082314
1,344925.9,3082335
1,343284.7,3082356
1,348231.5,3084139
1,346590.5,3084160
1,344949.6,3084181
1,343308.7,3084202
1,341667.7,3084224
1,348254.7,3085986
1,346614.1,3086007
1,344973.3,3086028
1,343332.6,3086049
1,341691.9,3086070
1,340051.2,3086092
1,338410.5,3086114
1,348278,3087832
1,346637.6,3087853
1,344997.1,3087874
1,343356.7,3087895
1,341716.2,3087917
1,340075.7,3087938
1,338435.3,3087960
1,348301.3,3089679
1,346661.1,3089700
1,345020.9,3089721
1,343380.7,3089742
1,341740.5,3089763
1,340100.3,3089785
1,338460,3089807
1,336819.8,3089829
1,335179.5,3089851
1,348324.5,3091526
1,346684.6,3091546
1,345044.7,3091567
1,343404.7,3091589
1,341764.8,3091610
1,340124.8,3091632
1,338484.8,3091654
1,336844.8,3091676
1,335204.8,3091698
1,333564.8,3091721
1,331924.9,3091744
1,346708.2,3093393
1,345068.5,3093414
1,343428.8,3093435
1,341789,3093457
1,340149.4,3093478
1,338509.6,3093500
1,336869.9,3093522
1,335230.2,3093545
1,333590.4,3093567
1,331950.6,3093590
1,345092.3,3095260
1,343452.8,3095282
1,341813.4,3095303
1,340173.9,3095325
1,338534.4,3095347
1,336895,3095369
1,335255.5,3095391
1,333616,3095414
1,340198.5,3097171
1,338559.3,3097193
1,336920,3097216
1,335280.8,3097238
1,340223.1,3099018
1,338584.2,3099040
1,335306.2,3099085
1,336970.3,3100909
1,335331.5,3100931
2,361253.2,3074749
2,359632.4,3076614
2,357990.6,3076634
2,361295.6,3078442
2,359653.9,3078461
2,356370.6,3078500
2,361316.7,3080288
2,359675.4,3080307
2,358033.9,3080327
2,356392.5,3080346
2,362979.1,3082116
2,361337.9,3082135
2,359696.8,3082154
2,358055.7,3082173
2,356414.5,3082193
2,354773.3,3082212
2,361359.2,3083981
2,358077.4,3084019
2,356436.5,3084039
2,354795.6,3084059
2,359739.8,3085847
2,358099.1,3085866
2,356458.4,3085885
2,354817.8,3085905
2,359761.3,3087693
2,358120.8,3087712
2,354840,3087751
2,359782.8,3089540
2,354862.3,3089598
2,359804.3,3091386
3,346286.3,3060155
3,344642.1,3060176
3,347953.6,3061981
3,346309.7,3062002
3,344665.7,3062023
3,343021.7,3062044
3,349620.4,3063807
3,347976.7,3063828
3,346333,3063849
3,344689.3,3063869
3,343045.6,3063891
3,341401.9,3063912
3,351286.7,3065634
3,349643.2,3065654
3,347999.8,3065674
3,346356.3,3065695
3,344712.9,3065716
3,343069.4,3065737
3,341425.9,3065758
3,339782.5,3065780
3,352952.8,3067460
3,351309.3,3067480
3,349666.1,3067500
3,348022.9,3067521
3,346379.7,3067542
3,344736.5,3067563
3,343093.3,3067584
3,341450,3067605
3,339806.8,3067626
3,352975.2,3069307
3,351331.9,3069327
3,349689,3069347
3,348046,3069367
3,346403.1,3069388
3,344760.1,3069409
3,343117.1,3069430
3,341474.2,3069451
3,339831.2,3069473
3,357925.6,3071094
3,356282.9,3071114
3,354640.3,3071133
3,352997.6,3071153
3,351354.5,3071173
3,349711.8,3071193
3,348069.2,3071214
3,346426.5,3071234
3,344783.8,3071255
3,343141.1,3071277
3,341498.3,3071298
3,339855.6,3071319
3,357947.2,3072941
3,356304.8,3072960
3,354662.4,3072980
3,353020,3072999
3,351377.2,3073019
3,349734.8,3073040
3,348092.3,3073060
3,346449.8,3073081
3,344807.4,3073102
3,343164.9,3073123
3,341522.5,3073144
3,339880,3073166
3,359611,3074768
3,357968.9,3074787
3,356326.7,3074807
3,354684.6,3074826
3,353042.4,3074846
3,351399.8,3074866
3,349757.7,3074886
3,348115.5,3074907
3,346473.3,3074927
3,344831.1,3074948
3,343188.8,3074969
3,356348.7,3076653
3,354706.7,3076673
3,353064.8,3076692
3,351422.5,3076713
3,349780.6,3076733
3,348138.7,3076753
3,346496.7,3076774
3,344854.8,3076795
3,343212.8,3076816
3,351445.3,3078559
3,349803.5,3078579
3,348161.8,3078600
3,346520.2,3078621
3,344878.4,3078642
3,343236.7,3078663
3,348185,3080446
3,346543.6,3080467
4,334551.7,3043688
4,332905.2,3043710
4,331258.7,3043733
4,336222.9,3045512
4,334576.6,3045534
4,332930.4,3045557
4,331284.1,3045579
4,337893.6,3047336
4,336247.6,3047358
4,334601.6,3047381
4,332955.6,3047403
4,331309.6,3047426
4,329663.6,3047448
4,337918.1,3049183
4,336272.3,3049205
4,334626.6,3049227
4,332980.8,3049250
4,331335,3049272
4,329689.3,3049295
4,341233.5,3050986
4,339588,3051008
4,337942.6,3051030
4,336297.1,3051052
4,334651.6,3051074
4,333006.1,3051096
4,331360.5,3051119
4,329715,3051142
4,342902.8,3052812
4,341257.5,3052833
4,339612.3,3052854
4,337967.1,3052876
4,336321.8,3052898
4,334676.6,3052920
4,333031.3,3052943
4,331386,3052965
4,329740.8,3052988
4,346216.4,3054616
4,344571.5,3054637
4,342926.5,3054658
4,341281.5,3054679
4,339636.6,3054701
4,337991.6,3054723
4,336346.6,3054745
4,334701.6,3054767
4,333056.6,3054789
4,331411.6,3054812
4,329766.5,3054835
4,328121.5,3054858
4,344595,3056484
4,342950.3,3056505
4,341305.6,3056526
4,339660.9,3056547
4,338016.1,3056569
4,336371.3,3056591
4,334726.6,3056613
4,333081.8,3056636
4,344618.5,3058330
4,342974.1,3058351
4,341329.6,3058372
4,339685.1,3058394
4,338040.7,3058416
4,336396.2,3058438
4,334751.7,3058460
4,333107.2,3058482
4,342997.9,3060197
4,341353.7,3060219
4,339709.4,3060240
4,338065.2,3060262
4,336421,3060284
4,334776.7,3060306
4,341377.8,3062065
4,339733.8,3062087
4,338089.8,3062109
4,336445.8,3062131
4,339758.1,3063933
4,338114.4,3063955
5,329792.3,3056681
5,331462.6,3058505
5,329818.1,3058528
5,333132.5,3060329
5,331488.2,3060351
5,329843.9,3060374
5,328199.6,3060397
5,334801.8,3062153
5,333157.8,3062175
5,331513.8,3062198
5,336470.6,3063977
5,334826.9,3063999
5,333183.1,3064022
5,331539.3,3064045
5,329895.6,3064067
5,333208.5,3065869
5,331564.9,3065891
5,329921.4,3065914
5,331590.6,3067738
5,329947.3,3067761
5,333259.2,3069562
5,329973.2,3069607
5,328330.1,3069630
5,328356.3,3071477
5,326713.1,3071500
5,326739.5,3073347
5,326765.9,3075193
5,325123.6,3075217
5,321866.2,3077112
5,321893.4,3078958
6,341161.6,3045447
6,342831.5,3047272
6,339539.6,3047315
6,344500.9,3049098
6,342855.2,3049119
6,346169.9,3050923
7,349369.8,3043496
7,347723.4,3043517
7,346077,3043537
7,344430.6,3043558
7,342784.1,3043579
7,341137.6,3043600
7,355977.6,3045264
7,352685.3,3045303
7,351038.7,3045323
7,339515.3,3045468
7,337869.1,3045490
