target,targ_x,targ_y
02299950,386840,3047697
02300500,379928,3060372
02300530,366067,3067562
02300700,370592,3071162
02301000,400160,3088462
02301300,391299,3070102
02301500,393913,3081151
02301695,374357,3086056
02301750,371419,3090700
02303000,391854,3115138
02303330,377903,3106951
02304500,365288,3121936
02306647,352788,3104690
02307000,350376,3110239
02307359,340627,3112443
202-7,357888,3044944
203-3,359260,3060684
204-2,376572,3079095
205-2,356097,3099401
206-1,340133,3093481
206-2,360934,3079741
206-3C,348225,3071277
206-3E,355763,3065892
206-3W,337811,3075646
206-4,339637,3053478
206-5,331790,3062133
206-6,344186,3048396
207-5,327889,3078015
EVERSRES,360470,3032755
LMANATEE,374561,3041023
LTARPON,331573,3109280
TBYPASS,368888,3097382
