clucsid,hsg,dry_rc,wet_rc
01,A,0.15,0.25
01,B,0.18,0.28
01,C,0.21,0.31
01,D,0.24,0.34
02,A,0.25,0.35
02,B,0.3,0.4
02,C,0.35,0.45
02,D,0.4,0.5
03,A,0.35,0.5
03,B,0.42,0.57
03,C,0.5,0.65
03,D,0.58,0.75
04,A,0.7,0.79
04,B,0.74,0.83
04,C,0.78,0.97
04,D,0.82,0.91
05,A,0.65,0.75
05,B,0.7,0.8
05,C,0.75,0.85
05,D,0.8,0.9
06,A,0.2,0.2
06,B,0.3,0.3
06,C,0.4,0.4
06,D,0.5,0.5
07,A,0.4,0.5
07,B,0.45,0.55
07,C,0.5,0.6
07,D,0.55,0.65
08,A,0.1,0.18
08,B,0.14,0.22
08,C,0.18,0.26
08,D,0.22,0.3
09,A,0.45,0.55
09,B,0.5,0.6
09,C,0.55,0.65
09,D,0.6,0.7
10,A,0.1,0.18
10,B,0.14,0.22
10,C,0.18,0.26
10,D,0.22,0.3
11,A,0.2,0.26
11,B,0.23,0.29
11,C,0.26,0.32
11,D,0.29,0.33
12,A,0.35,0.45
12,B,0.4,0.5
12,C,0.45,0.55
12,D,0.5,0.6
13,A,0.2,0.3
13,B,0.25,0.35
13,C,0.3,0.4
13,D,0.35,0.45
14,A,0.2,0.3
14,B,0.25,0.35
14,C,0.3,0.4
14,D,0.35,0.45
15,A,0.1,0.15
15,B,0.13,0.18
15,C,0.16,0.21
15,D,0.19,0.24
16,A,0.8,0.9
16,B,0.8,0.9
16,C,0.8,0.9
16,D,0.8,0.9
17,A,0,0
17,B,0,0
17,C,0,0
17,D,0,0
18,A,0.5,0.6
18,B,0.55,0.65
18,C,0.6,0.7
18,D,0.65,0.75
19,A,0.95,0.95
19,B,0.95,0.95
19,C,0.95,0.95
19,D,0.95,0.95
20,A,0.45,0.55
20,B,0.5,0.6
20,C,0.55,0.65
20,D,0.6,0.7
21,A,0,0
21,B,0,0
21,C,0,0
21,D,0,0
22,A,0,0
22,B,0,0
22,C,0,0
22,D,0,0
