Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd) - Influent	Effluent Flow (ADF) (MGD) D-001	Reuse Flow (ADF) (MGD) R-001	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL0021865	East Water Reclamation Facility	D-001	2017	1	1.67	1.89	0	2.03			1.00			0.96			0.29			0.01			0.67						0.06											
FL0021865	East Water Reclamation Facility	D-001	2017	2	1.60	1.81	0	2.79			1.00			1.03			0.29			0.01			0.75						0.05											
FL0021865	East Water Reclamation Facility	D-001	2017	3	1.56	1.70	0	2.37			1.00			1.45			0.64			0.01			0.81						0.04											
FL0021865	East Water Reclamation Facility	D-001	2017	4	1.62	1.71	0	2.38			1.00			1.22			0.31			0.01			0.91						0.05											
FL0021865	East Water Reclamation Facility	D-001	2017	5	1.56	1.67	0	2.41			1.00			1.27			0.21			0.01			0.92						0.06											
FL0021865	East Water Reclamation Facility	D-001	2017	6	1.85	2.20	0	2.12			1.00			1.21			0.29			0.01			0.92						0.07											
FL0021865	East Water Reclamation Facility	D-001	2017	7	2.04	2.33	0	2.71			1.25			1.26			0.40			0.01			0.84						0.05											
FL0021865	East Water Reclamation Facility	D-001	2017	8	2.35	2.47	0	3.08			1.02			1.28			0.46			0.01			0.81						0.05											
FL0021865	East Water Reclamation Facility	D-001	2017	9	2.87	3.24	0	3.63			1.00			1.39			0.40			0.01			0.99						0.26											
FL0021865	East Water Reclamation Facility	D-001	2017	10	2.39	2.53	0	2.89			1.00			1.27			0.48			0.01			0.80						0.14											
FL0021865	East Water Reclamation Facility	D-001	2017	11	1.81	1.97	0	2.21			1.00			1.27			0.45			0.01			0.82						0.04											
FL0021865	East Water Reclamation Facility	D-001	2017	12	1.84	2.12	0	2.68			1.02			1.92			1.01			0.01			0.90						0.04											
FL0021865	East Water Reclamation Facility	D-001	2018	1	1.83	3.27	0	5.05			0.50			1.68			0.78			0.01			0.90						0.04											
FL0021865	East Water Reclamation Facility	D-001	2018	2	2.23	3.70	0	2.78			0.53			1.74			0.74			0.01			1.00						0.04											
FL0021865	East Water Reclamation Facility	D-001	2018	3	1.81	3.10	0	1.22			0.50			1.86			0.93			0.01			0.93						0.05											
FL0021865	East Water Reclamation Facility	D-001	2018	4	1.88	2.21	0	1.07			0.50			1.48			0.57			0.01			0.91						0.32											
FL0021865	East Water Reclamation Facility	D-001	2018	5	2.00	2.35	0	2.54			0.50			1.44			0.51			0.01			0.93						1.13											
FL0021865	East Water Reclamation Facility	D-001	2018	6	1.99	2.27	0	1.74			0.50			1.32			0.39			0.01			0.92						0.45											
FL0021865	East Water Reclamation Facility	D-001	2018	7	2.09	2.50	0	1.62			0.50			1.22			0.44			0.01			0.78						0.15											
FL0021865	East Water Reclamation Facility	D-001	2018	8	2.82	3.20	0	2.48			0.50			1.13			0.43			0.01			0.70						0.19											
FL0021865	East Water Reclamation Facility	D-001	2018	9	2.57	3.00	0	1.00			0.50			1.17			0.44			0.01			0.72						0.25											
FL0021865	East Water Reclamation Facility	D-001	2018	10	1.92	2.18	0	2.75			0.60			1.16			0.42			0.01			0.73						0.18											
FL0021865	East Water Reclamation Facility	D-001	2018	11	1.76	2.11	0	1.62			0.61			1.52			0.71			0.01			0.81						0.1											
FL0021865	East Water Reclamation Facility	D-001	2018	12	2.48	3.13	0	1.00			0.55			1.45			0.58			0.01			0.84						0.036											
