Permit.Number	Facility.Name	Year	Month	Reuse.Flow.to.Pinellas..ADF...MGD..R.002	BOD	BOD..Unit	QBOD	TSS	TSS.Unit	QTSS	Total.N	Total.N.Unit	Q.Total.N	NO2.NO3	NO2.NO3.Unit	Q.NO2.NO3	NH4	NH4.Unit	Q.NH4	TKN	TKN.Unit	Q.TKN	Organic.N	Organic.N.Unit	Q.Organic.N	Total.P	Total.P.Unit	Q.Total.P	PO4	PO4.Unit	Q.PO4	Other.N..species.	Other.N.Unit	Q.Other.N	Other.P..species.	Other.P.Unit	Q.Other.P	Outfall.ID	Average.Daily.Flow..ADF...mgd.
FL0128937	Northeast Water Reclamation Facility	2021	1	0.16	3.28	NA	NA	0.5	NA	NA	1.23	NA	NA	0.44	NA	NA	0.01	NA	NA	0.82	NA	NA	NA	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	3.88
FL0128937	Northeast Water Reclamation Facility	2021	1	0.16	3.28	NA	NA	0.5	NA	NA	1.23	NA	NA	0.44	NA	NA	0.01	NA	NA	0.82	NA	NA	NA	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	1.68
FL0128937	Northeast Water Reclamation Facility	2021	2	0.11	4.08	NA	NA	0.51	NA	NA	1.44	NA	NA	0.31	NA	NA	0.01	NA	NA	0.7	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	4.69
FL0128937	Northeast Water Reclamation Facility	2021	2	0.11	4.08	NA	NA	0.51	NA	NA	1.44	NA	NA	0.31	NA	NA	0.01	NA	NA	0.7	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	0.98
FL0128937	Northeast Water Reclamation Facility	2021	3	0.17	3.13	NA	NA	0.5	NA	NA	1.46	NA	NA	0.66	NA	NA	0.01	NA	NA	0.8	NA	NA	NA	NA	NA	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	2.08
FL0128937	Northeast Water Reclamation Facility	2021	3	0.17	3.13	NA	NA	0.5	NA	NA	1.46	NA	NA	0.66	NA	NA	0.01	NA	NA	0.8	NA	NA	NA	NA	NA	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	2.97
FL0128937	Northeast Water Reclamation Facility	2021	4	0.16	2.7	NA	NA	0.5	NA	NA	1.06	NA	NA	0.5	NA	NA	0.01	NA	NA	0.55	NA	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	2.25
FL0128937	Northeast Water Reclamation Facility	2021	4	0.16	2.7	NA	NA	0.5	NA	NA	1.06	NA	NA	0.5	NA	NA	0.01	NA	NA	0.55	NA	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	2.77
FL0128937	Northeast Water Reclamation Facility	2021	5	0.19	2.88	NA	NA	0.5	NA	NA	0.79	NA	NA	0.31	NA	NA	0.01	NA	NA	0.44	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	0.12
FL0128937	Northeast Water Reclamation Facility	2021	5	0.19	2.88	NA	NA	0.5	NA	NA	0.79	NA	NA	0.31	NA	NA	0.01	NA	NA	0.44	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	4.64
