Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd)	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL00407	Falkenburg Road AWWTF	D-001	2017	1	4.935	1.13	mg/l		0.57	mg/l		2.04	mg/l		0.82	mg/l		0.14	mg/l		1.04	mg/l		0.91	MG/L		0.47	mg/l		0.43	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	2	5.879	1.45	mg/l		0.53	mg/l		1.91	mg/l		0.94	mg/l		0.12	mg/l		1.00	mg/l		0.88	MG/L		0.49	mg/l		0.47	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	3	3.931	1.68	mg/l		0.60	mg/l		1.96	mg/l		1.00	mg/l		0.11	mg/l		0.98	mg/l		0.88	MG/L		0.41	mg/l		0.37	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	4	3.311	1.21	mg/l		0.54	mg/l		1.91	mg/l		0.99	mg/l		0.06	mg/l		0.95	mg/l		0.90	MG/L		0.34	mg/l		0.31	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	5	2.675	0.85	mg/l		0.51	mg/l		2.17	mg/l		1.09	mg/l		0.22	mg/l		1.12	mg/l		0.91	MG/L		0.43	mg/l		0.41	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	6	3.663	1.18	mg/l		0.55	mg/l		2.16	mg/l		1.02	mg/l		0.24	mg/l		1.16	mg/l		0.92	MG/L		0.35	mg/l		0.32	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	7	4.888	0.37	mg/l		0.54	mg/l		2.11	mg/l		1.00	mg/l		0.16	mg/l		1.10	mg/l		0.94	MG/L		0.40	mg/l		0.37	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	8	4.957	0.57	mg/l		0.51	mg/l		2.13	mg/l		1.14	mg/l		0.15	mg/l		1.03	mg/l		0.87	MG/L		0.49	mg/l		0.45	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	9	4.951	1.95	mg/l		0.70	mg/l		2.26	mg/l		1.16	mg/l		0.26	mg/l		1.11	mg/l		0.85	MG/L		0.47	mg/l		0.37	mg/l							
FL00407	Falkenburg Road AWWTF	D-001	2017	10	4.344	1.16	mg/l		0.52	mg/l		2.26	mg/l		1.29	mg/l		0.19	mg/l		1.03	mg/l		0.84	MG/L		0.31	mg/l		0.33	mg/l							
