Permit.Number	Facility.Name	Outfall.ID	Year	Month	Average.Daily.Flow..ADF...mgd.	BOD	BOD..Unit	QBOD	TSS	TSS.Unit	QTSS	Total.N	Total.N.Unit	Q.Total.N	NO2.NO3	NO2.NO3.Unit	Q.NO2.NO3	NH4	NH4.Unit	Q.NH4	TKN	TKN.Unit	Q.TKN	Organic.N	Organic.N.Unit	Q.Organic.N	Total.P	Total.P.Unit	Q.Total.P	PO4	PO4.Unit	Q.PO4	Other.N..species.	Other.N.Unit	Q.Other.N	Other.P..species.	Other.P.Unit	Q.Other.P
FL00407	Falkenburg Road AWWTF	D-001	2019	1	5.29651166200058	0.828042545458566	mg/l	NA	0.416787470232894	mg/l	NA	1.75688124895733	mg/l	NA	1.27362344099608	mg/l	NA	0.115530681248995	mg/l	NA	0.774237459713728	mg/l	NA	0.704934447488738	MG/L	NA	0.200163419634147	mg/l	NA	0.280899326092694	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	2	2.69666258469217	1.544163506631	mg/l	NA	0.555396885877852	mg/l	NA	2.12093168510482	mg/l	NA	1.06518732285626	mg/l	NA	0.0391218601853959	mg/l	NA	0.786970957681492	mg/l	NA	0.766877307150669	MG/L	NA	0.265691914711159	mg/l	NA	0.178960836831532	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	3	5.68935838684561	1.32414507418885	mg/l	NA	0.374076425650734	mg/l	NA	2.15878087130232	mg/l	NA	1.34702627623405	mg/l	NA	0.195653811428517	mg/l	NA	0.809893088553735	mg/l	NA	0.728709360961638	MG/L	NA	0.242581116822818	mg/l	NA	0.295574868509986	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	4	4.74973766508259	1.29105671510387	mg/l	NA	0.382119014544294	mg/l	NA	2.05454392546188	mg/l	NA	1.15404639405311	mg/l	NA	0.0981597863852851	mg/l	NA	0.774774067602521	mg/l	NA	0.896714772318876	MG/L	NA	0.355062982669859	mg/l	NA	0.260735585368421	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	5	4.3963028450607	1.32667143102364	mg/l	NA	0.327417309484422	mg/l	NA	2.10556832942157	mg/l	NA	1.18431871091568	mg/l	NA	0.111942687611711	mg/l	NA	0.816708602958383	mg/l	NA	0.748532365949862	MG/L	NA	0.237038881987888	mg/l	NA	0.307101017483439	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	6	5.83808314677355	1.39732294827948	mg/l	NA	0.531360416597027	mg/l	NA	1.93120914955551	mg/l	NA	0.963430348278394	mg/l	NA	0.0472152259747542	mg/l	NA	0.893196954192743	mg/l	NA	0.745945706063929	MG/L	NA	0.207087038882114	mg/l	NA	0.227541784014921	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	7	5.19440061021636	1.16655739422788	mg/l	NA	0.303920771821598	mg/l	NA	2.16459533583801	mg/l	NA	1.20400098892745	mg/l	NA	0.119064522602148	mg/l	NA	1.03075834011081	mg/l	NA	0.781026469248292	MG/L	NA	0.327631336657869	mg/l	NA	0.170511221710899	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	8	3.34622808233527	1.28092357815468	mg/l	NA	0.289079197658735	mg/l	NA	2.25921950934734	mg/l	NA	1.2276714348243	mg/l	NA	0.13881786338085	mg/l	NA	0.777551370683447	mg/l	NA	0.704867190904653	MG/L	NA	0.24727521528463	mg/l	NA	0.431362560218029	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	9	4.74879404560369	1.16852596575219	mg/l	NA	0.651567492961993	mg/l	NA	1.97406785793319	mg/l	NA	1.12979315940653	mg/l	NA	0.153339110443412	mg/l	NA	0.750859391608399	mg/l	NA	0.712056645744887	MG/L	NA	0.127732544592729	mg/l	NA	0.184004155080299	mg/l	NA	NA	NA	NA	NA	NA	NA
FL00407	Falkenburg Road AWWTF	D-001	2019	10	6.46163767597811	1.36092326548723	mg/l	NA	0.263250006842318	mg/l	NA	1.70838748109432	mg/l	NA	1.08546443197666	mg/l	NA	0.127687437333731	mg/l	NA	0.927829439311639	mg/l	NA	0.765643396686185	MG/L	NA	0.155645036286596	mg/l	NA	0.238378102372205	mg/l	NA	NA	NA	NA	NA	NA	NA
