Permit Number	Facility Name	Outfall ID	Year	Month	Average Daily Flow (ADF) (mgd)	BOD 	BOD  Unit	QBOD	TSS	TSS Unit	QTSS	Total N	Total N Unit	Q Total N	NO2+NO3	NO2+NO3 Unit	Q NO2+NO3	NH4	NH4 Unit	Q NH4	TKN	TKN Unit	Q TKN	Organic N	Organic N Unit	Q Organic N	Total P	Total P Unit	Q Total P	PO4	PO4 Unit	Q PO4	Other N (species)	Other N Unit	Q Other N	Other P (species)	Other P Unit	Q Other P
FL0041670	Northwest Regional WRF	D-001	2021	1	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	2	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	3	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	4	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	5	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	6	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	7	2.788	0.69	mg/l		0.63	mg/l		1.77	mg/l		0.99	mg/l		0.04	mg/l		0.78	mg/l		0.74	mg/l		0.14	mg/l		0.10	mg/l							
FL0041670	Northwest Regional WRF	D-001	2021	8	0.568	0.44	mg/l		0.25	mg/l		1.26	mg/l		0.53	mg/l		0.04	mg/l		0.73	mg/l		0.70	mg/l		0.10	mg/l		0.07	mg/l							
FL0041670	Northwest Regional WRF	D-001	2021	9	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	10	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	11	0.000																																	
FL0041670	Northwest Regional WRF	D-001	2021	12	2.645	0.76	mg/l		0.27	mg/l		1.11	mg/l		0.32	mg/l		0.04	mg/l		0.79	mg/l		0.75	mg/l		0.18	mg/l		0.18	mg/l							
FL0041670	Northwest Regional WRF	D-004	2021	1	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	2	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	3	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	4	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	5	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	6	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	7	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	8	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	9	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	10	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	11	0.0																																	
FL0041670	Northwest Regional WRF	D-004	2021	12	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	1	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	2	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	3	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	4	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	5	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	6	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	7	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	8	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	9	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	10	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	11	0.0																																	
FL0041670	Northwest Regional WRF	D-005	2021	12	0.0																																	
FL0041670	Northwest Regional WRF	D-006	2021	1	6.7	0.92	mg/l		0.27	mg/l		1.41	mg/l		0.74	mg/l		0.03	mg/l	<	0.67	mg/l		0.64	mg/l		0.09	mg/l		0.07	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	2	9.5	0.76	mg/l		0.25	mg/l		1.41	mg/l		0.73	mg/l		0.03	mg/l		0.68	mg/l		0.65	mg/l		0.12	mg/l		0.11	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	3	5.2	0.71	mg/l		0.26	mg/l		1.31	mg/l		0.55	mg/l		0.04	mg/l		0.77	mg/l		0.72	mg/l		0.17	mg/l		0.16	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	4	5.5	0.69	mg/l		0.26	mg/l		1.57	mg/l		0.78	mg/l		0.04	mg/l		0.81	mg/l		0.77	mg/l		0.15	mg/l		0.10	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	5	1.1	0.66	mg/l		0.25	mg/l		1.26	mg/l		0.52	mg/l		0.04	mg/l		0.74	mg/l		0.70	mg/l		0.13	mg/l		0.10	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	6	5.7	0.60	mg/l		0.25	mg/l		1.62	mg/l		0.88	mg/l		0.04	mg/l		0.74	mg/l		0.71	mg/l		0.13	mg/l		0.10	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	7	9.8	0.69	mg/l		0.63	mg/l		1.77	mg/l		0.99	mg/l		0.04	mg/l		0.78	mg/l		0.74	mg/l		0.14	mg/l		0.10	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	8	10.0	0.44	mg/l		0.25	mg/l		1.26	mg/l		0.53	mg/l		0.04	mg/l		0.73	mg/l		0.70	mg/l		0.10	mg/l		0.07	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	9	10.1	0.39	mg/l		0.25	mg/l		1.24	mg/l		0.49	mg/l		0.04	mg/l		0.75	mg/l		0.71	mg/l		0.17	mg/l		0.15	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	10	4.4	0.35	mg/l		0.25	mg/l		1.21	mg/l		0.43	mg/l		0.04	mg/l		0.78	mg/l		0.74	mg/l		0.72	mg/l		0.66	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	11	7.1	0.60	mg/l		0.25	mg/l		1.12	mg/l		0.36	mg/l		0.06	mg/l		0.76	mg/l		0.70	mg/l		0.35	mg/l		0.29	mg/l							
FL0041670	Northwest Regional WRF	D-006	2021	12	1.4	0.76	mg/l		0.27	mg/l		1.11	mg/l		0.32	mg/l		0.04	mg/l		0.79	mg/l		0.75	mg/l		0.18	mg/l		0.18	mg/l							
FL0041670	Northwest Regional WRF	R-001	2021	1	8.6	0.92	mg/l		0.27	mg/l		1.41	mg/l		0.74	mg/l		0.03	mg/l	<	0.67	mg/l		0.64	mg/l		0.09	mg/l		0.07	mg/l							
