Date	Year	Month	Day	"FLW-01 SW Discharge, mgd"	"Calculated Total Reuse, mgd"
1/1/2016	2016	1	1	9.7	10.65
1/2/2016	2016	1	2	7.1	12.77
1/3/2016	2016	1	3	8.77	9.98
1/4/2016	2016	1	4	11.06	8.35
1/5/2016	2016	1	5	8.27	11.56
1/6/2016	2016	1	6	6.4	12.73
1/7/2016	2016	1	7	6.57	12.23
1/8/2016	2016	1	8	8.8	10.11
1/9/2016	2016	1	9	12.12	9.64
1/10/2016	2016	1	10	11.81	8.8
1/11/2016	2016	1	11	14.07	7.41
1/12/2016	2016	1	12	9.16	12.22
1/13/2016	2016	1	13	10.48	10.11
1/14/2016	2016	1	14	8.69	10.93
1/15/2016	2016	1	15	14.69	8.95
1/16/2016	2016	1	16	10.53	10.1
1/17/2016	2016	1	17	17.65	8.17
1/18/2016	2016	1	18	14.08	9.18
1/19/2016	2016	1	19	11.93	11.41
1/20/2016	2016	1	20	10.66	11.42
1/21/2016	2016	1	21	12.52	8.87
1/22/2016	2016	1	22	16.08	7.73
1/23/2016	2016	1	23	14.74	8.74
1/24/2016	2016	1	24	11.28	12.65
1/25/2016	2016	1	25	20.52	7.16
1/26/2016	2016	1	26	7.82	14.5
1/27/2016	2016	1	27	15.05	8.77
1/28/2016	2016	1	28	25.06	7.6
1/29/2016	2016	1	29	21.22	8.76
1/30/2016	2016	1	30	22.55	7.96
1/31/2016	2016	1	31	16.25	14.23
2/1/2016	2016	2	1	20.9	6.85
2/2/2016	2016	2	2	16.14	10.34
2/3/2016	2016	2	3	16.32	9.51
2/4/2016	2016	2	4	16.26	9.97
2/5/2016	2016	2	5	22.55	7.35
2/6/2016	2016	2	6	22.05	8.11
2/7/2016	2016	2	7	16.83	8.91
2/8/2016	2016	2	8	19.37	7.86
2/9/2016	2016	2	9	14.55	11.3
2/10/2016	2016	2	10	18.39	8.95
2/11/2016	2016	2	11	13.12	11.7
2/12/2016	2016	2	12	15.8	8.61
2/13/2016	2016	2	13	13.54	10.79
2/14/2016	2016	2	14	12.72	11.12
2/15/2016	2016	2	15	14.19	9.82
2/16/2016	2016	2	16	15.87	10.01
2/17/2016	2016	2	17	10.83	12.26
2/18/2016	2016	2	18	13.98	9.86
2/19/2016	2016	2	19	13.58	10.02
2/20/2016	2016	2	20	11.33	10.56
2/21/2016	2016	2	21	8.8	10.84
2/22/2016	2016	2	22	10.79	8.51
2/23/2016	2016	2	23	11.24	10.07
2/24/2016	2016	2	24	13.37	9.98
2/25/2016	2016	2	25	14.29	8.65
2/26/2016	2016	2	26	14.93	8.23
2/27/2016	2016	2	27	13.64	9.17
2/28/2016	2016	2	28	10.87	10.07
2/29/2016	2016	2	29	12.46	8.47
3/1/2016	2016	3	1	11.31	9.61
3/2/2016	2016	3	2	9.08	12.03
3/3/2016	2016	3	3	9.46	12.47
3/4/2016	2016	3	4	11.16	9.79
3/5/2016	2016	3	5	11.23	9.54
3/6/2016	2016	3	6	9.36	11.59
3/7/2016	2016	3	7	11.79	8.87
3/8/2016	2016	3	8	11.16	9.54
3/9/2016	2016	3	9	6.55	14.23
3/10/2016	2016	3	10	7.83	12.98
3/11/2016	2016	3	11	11.77	8.98
3/12/2016	2016	3	12	12	10.25
3/13/2016	2016	3	13	7.42	12.73
3/14/2016	2016	3	14	11.11	10.04
3/15/2016	2016	3	15	11.59	9.19
3/16/2016	2016	3	16	7.75	12.94
3/17/2016	2016	3	17	7.95	12.66
3/18/2016	2016	3	18	8.39	12.05
3/19/2016	2016	3	19	13.22	9.38
3/20/2016	2016	3	20	10.58	10.48
3/21/2016	2016	3	21	10.43	10
3/22/2016	2016	3	22	11.49	8.96
3/23/2016	2016	3	23	9.41	10.61
3/24/2016	2016	3	24	7.9	11.96
3/25/2016	2016	3	25	10.6	10.63
3/26/2016	2016	3	26	12.33	9.54
3/27/2016	2016	3	27	13.21	9.66
3/28/2016	2016	3	28	10.4	10.78
3/29/2016	2016	3	29	11.1	10.23
3/30/2016	2016	3	30	12.56	9.07
3/31/2016	2016	3	31	12.16	9.29
4/1/2016	2016	4	1	12.36	9.1
4/2/2016	2016	4	2	11.94	10.45
4/3/2016	2016	4	3	11.82	10.61
4/4/2016	2016	4	4	13.13	10.23
4/5/2016	2016	4	5	11.34	10.29
4/6/2016	2016	4	6	12.84	9.97
4/7/2016	2016	4	7	10.59	10.75
4/8/2016	2016	4	8	10.73	10.44
4/9/2016	2016	4	9	11.28	9.36
4/10/2016	2016	4	10	10.69	10.74
4/11/2016	2016	4	11	9.48	12.15
4/12/2016	2016	4	12	7.98	12.07
4/13/2016	2016	4	13	7.39	12.7
4/14/2016	2016	4	14	7.28	13.48
4/15/2016	2016	4	15	7.68	12.75
4/16/2016	2016	4	16	7.12	12.53
4/17/2016	2016	4	17	5.99	14.41
4/18/2016	2016	4	18	6.21	14.01
4/19/2016	2016	4	19	6.07	13.02
4/20/2016	2016	4	20	6.64	12.65
4/21/2016	2016	4	21	4.71	14.35
4/22/2016	2016	4	22	3.47	15.74
4/23/2016	2016	4	23	2.84	16.53
4/24/2016	2016	4	24	3.76	16.22
4/25/2016	2016	4	25	4.88	15.54
4/26/2016	2016	4	26	4.92	15.15
4/27/2016	2016	4	27	3.14	16.99
4/28/2016	2016	4	28	3.88	14.89
4/29/2016	2016	4	29	3.07	15.71
4/30/2016	2016	4	30	4.28	14.88
5/1/2016	2016	5	1	2.98	16.15
5/2/2016	2016	5	2	3.07	15.18
5/3/2016	2016	5	3	5.49	15.53
