NE Facility
Month	Year	Rec MGD	BOD mg/L	TSS mg/L	TN mg/L	TP mg/L
1	2017	3.62	2.30	0.90	21.50	2.60
2	2017	3.71	2.00	0.50	24.97	2.80
3	2017	4.22	2.00	0.70	17.60	2.90
4	2017	4.79	2.00	0.70	18.55	2.59
5	2017	5.00	2.30	0.60	24.12	2.73
6	2017	2.97	2.60	0.50	18.20	1.47
7	2017	3.50	2.60	0.50	17.18	1.27
8	2017	4.94	2.70	0.70	14.60	1.09
9	2017	5.36	2.50	1.10	19.68	1.67
10	2017	4.04	3.70	0.80	26.88	1.42
11	2017	4.25	3.60	0.80	29.40	2.60
12	2017	3.88	4.70	1.10	34.48	1.76
1	2018	2.86	3.20	0.80	34.40	2.72
2	2018	3.16	3.20	0.90	29.68	2.12
3	2018	4.03	2.80	0.80	35.28	2.65
4	2018	4.28	4.70	1.40	37.75	2.35
5	2018	4.28	4.20	0.80	29.86	1.71
6	2018	3.97	2.00	0.50	23.08	0.78
7	2018	3.57	3.40	0.60	20.20	0.82
8	2018	3.47	2.00	0.60	17.25	0.71
9	2018	3.00	2.00	0.50	18.00	1.30
10	2018	4.62	2.20	2.20	24.00	1.09
11	2018	4.94	2.30	2.30	29.00	1.15
12	2018	3.01	3.00	3.00	26.25	1.18
