NW Facility
Month	Year	Rec MGD	BOD mg/L	TSS mg/L	TN mg/L	TP mg/L
1	2017	5.97	3.20	1.00	25.90	2.00
2	2017	6.65	2.60	0.80	21.80	1.90
3	2017	6.55	3.30	0.80	28.15	2.50
4	2017	7.18	2.30	0.60	22.13	1.79
5	2017	5.55	2.60	0.60	17.24	2.01
6	2017	5.92	2.60	0.60	14.95	1.62
7	2017	5.19	3.40	1.30	18.33	1.93
8	2017	7.71	2.70	0.90	16.08	1.20
9	2017	9.05	2.80	0.70	13.73	1.20
10	2017	7.17	3.50	0.90	16.06	0.86
11	2017	6.69	3.20	0.70	19.78	1.15
12	2017	6.20	3.50	0.90	21.95	1.35
1	2018	5.93	3.70	0.70	23.96	1.38
2	2018	5.94	3.40	0.70	22.70	2.23
3	2018	5.45	3.00	0.80	24.78	2.51
4	2018	5.80	2.90	0.60	19.75	2.13
5	2018	4.40	3.50	0.60	20.62	1.58
6	2018	6.23	3.10	0.80	17.75	1.35
7	2018	6.22	2.40	0.50	12.75	0.91
8	2018	7.31	2.00	0.60	14.00	1.05
9	2018	6.44	2.50	1.00	16.00	1.10
10	2018	5.52	3.10	1.20	16.20	1.32
11	2018	5.54	3.13	1.45	12.75	1.41
12	2018	5.76	2.40	0.80	13.75	1.06
