sta,year,month,day,time,spring,tn(mg/L),tnq,tp(mg/L),tpq
21FLHILL174,2022,1,12,1133,Sulphur,0.108,+,0.091,I
21FLHILL174,2022,2,8,1235,Sulphur,0.183,+,0.084,I
21FLHILL174,2022,3,9,1143,Sulphur,0.0915,+,0.087,I
21FLHILL174,2022,4,13,1120,Sulphur,0.1665,+,0.087,I
21FLHILL174,2022,5,11,1102,Sulphur,0.0915,+,0.071,I
21FLHILL174,2022,6,7,1205,Sulphur,0.0915,+,0.07,I
21FLHILL174,2022,7,20,1155,Sulphur,0.1665,+,0.093,I
21FLHILL174,2022,8,10,1157,Sulphur,0.108,+,0.048,U
21FLHILL174,2022,9,14,1221,Sulphur,0.108,+,0.053,I
21FLHILL174,2022,10,12,1128,Sulphur,0.403,+,0.048,U
21FLHILL174,2022,11,8,1201,Sulphur,0.409,+,0.072,I
21FLHILL174,2022,12,14,1139,Sulphur,0.23,+,0.088,I
21FLHILL174,2023,1,11,1107,Sulphur,0.217,+,0.133,I
21FLHILL174,2023,2,15,1119,Sulphur,0.0915,+,0.048,U
21FLHILL174,2023,3,15,1119,Sulphur,0.0975,+,0.14,I
21FLHILL174,2023,4,11,1122,Sulphur,0.159,+,0.14,U
21FLHILL174,2023,5,10,1133,Sulphur,0.0975,+,0.14,U
21FLHILL174,2023,6,14,1143,Sulphur,0.159,+,0.172,I
21FLHILL174,2023,7,11,1134,Sulphur,0.159,+,0.144,I
21FLHILL174,2023,8,9,1005,Sulphur,0.159,+,0.14,U
21FLHILL174,2023,9,13,1133,Sulphur,0.159,+,0.14,U
21FLHILL174,2023,10,10,1156,Sulphur,0.0975,+,0.14,U
21FLHILL174,2023,11,8,1130,Sulphur,0.159,+,0.14,U
21FLHILL174,2023,12,13,1041,Sulphur,0.0975,+,0.14,U
21FLHILL174,2024,1,8,1206,Sulphur,0.146,+,0.082,I
21FLHILL174,2024,2,13,1112,Sulphur,0.146,+,0.103,I
21FLHILL174,2024,3,11,1109,Sulphur,0.146,+,0.071,I
21FLHILL174,2024,4,8,1148,Sulphur,0.158,+,0.136,I
21FLSWFD17805,2022,1,11,1120,Lithia,2.07,,0.064,
21FLSWFD17805,2022,4,7,1430,Lithia,2.37,,0.063,
21FLSWFD17805,2022,7,13,1320,Lithia,2.27,,0.067,
21FLSWFD17805,2022,10,18,1245,Lithia,2.35,,0.065,
21FLSWFD17805,2023,2,20,1155,Lithia,2.37,,0.063,
21FLSWFD17805,2023,5,3,845,Lithia,2.5,,0.066,
21FLSWFD17805,2023,7,20,840,Lithia,2.17,,0.069,
21FLSWFD17805,2023,10,12,955,Lithia,2.11,,0.073,
21FLSWFD18276,2022,1,11,1230,Buckhorn,1.93,,0.052,
21FLSWFD18276,2022,4,20,1130,Buckhorn,2.11,,0.044,
21FLSWFD18276,2022,7,13,1055,Buckhorn,2.69,J,0.045,
21FLSWFD18276,2022,10,26,1320,Buckhorn,2.29,J,0.05,
21FLSWFD18276,2023,2,20,1000,Buckhorn,2.01,,0.049,
21FLSWFD18276,2023,4,13,800,Buckhorn,2.17,,0.052,
21FLSWFD18276,2023,7,20,1145,Buckhorn,1.72,,0.048,
21FLSWFD18276,2023,10,12,1250,Buckhorn,1.69,,0.057,
