siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
FL41,1,2017,50,100,13,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,397.1,4.437,1,28,Jan  3 2017 12:00AM,Jan 31 2017 12:00AM
FL41,10,2017,25,100,40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1535.7,8.407,1,28,Oct  3 2017 12:00AM,Oct 31 2017 12:00AM
FL41,11,2017,50,100,38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,755.3,3.861,1,28,Oct 31 2017 12:00AM,Nov 28 2017 12:00AM
FL41,12,2017,100,100,100,0.039,0.051,0.022,0.389,0.046,0.194,0.746,0.243,5.2,6.3,1941.4,3.708,1,35,Nov 28 2017 12:00AM,Jan  2 2018 12:00AM
FL41,2,2017,100,100,100,0.082,0.038,0.023,0.272,0.133,0.479,0.501,0.799,4.841,9.846,3279.6,4.829,3,28,Jan 31 2017 12:00AM,Feb 28 2017 12:00AM
FL41,3,2017,100,100,100,0.073,0.032,0.022,0.227,0.119,0.334,0.446,0.474,4.97,7.693,2673.9,4,2,35,Feb 28 2017 12:00AM,Apr  4 2017 12:00AM
FL41,4,2017,50,100,12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,14.4,0.203,0,28,Apr  4 2017 12:00AM,May  2 2017 12:00AM
FL41,5,2017,75,100,93,0.366,0.122,0.063,0.794,0.442,1.03,1.439,0.67,5.665,12.197,4706.5,7.468,3,28,May  2 2017 12:00AM,May 30 2017 12:00AM
FL41,6,2017,100,100,100,0.061,0.044,0.022,0.344,0.11,0.452,0.629,0.386,5.054,6.9,25297.8,36.805,4,28,May 30 2017 12:00AM,Jun 27 2017 12:00AM
FL41,7,2017,100,100,100,0.082,0.041,0.018,0.299,0.094,0.661,0.559,0.372,5.033,7.441,19408.1,29.007,5,35,Jun 27 2017 12:00AM,Aug  1 2017 12:00AM
FL41,8,2017,100,100,100,0.062,0.032,0.014,0.254,0.038,0.41,0.469,0.246,5.115,5.914,23593.6,41.986,4,28,Aug  1 2017 12:00AM,Aug 29 2017 12:00AM
FL41,9,2017,80,100,95,0.111,0.09,0.034,0.671,0.029,0.262,1.286,0.385,5.212,8.343,14220.6,24.003,3,35,Aug 29 2017 12:00AM,Oct  3 2017 12:00AM
FL41,1,2018,75,100,99,0.099,0.074,0.027,0.595,0.132,0.289,1.067,0.361,5.4,7.9,3955.1,6.299,1,28,Jan  2 2018 12:00AM,Jan 30 2018 12:00AM
FL41,10,2018,50,100,56,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1271.2,5.176,1,28,Oct  2 2018 12:00AM,Oct 30 2018 12:00AM
FL41,11,2018,100,100,100,0.242,0.056,0.032,0.34,0.116,0.648,0.635,0.662,5.106,8.209,5444.4,9.804,4,35,Oct 30 2018 12:00AM,Dec  4 2018 12:00AM
FL41,12,2018,100,100,100,0.109,0.156,0.054,1.219,0.063,0.257,2.3,0.664,5.16,12.93,10053,16.002,4,28,Dec  4 2018 12:00AM,Jan  1 2019 12:00AM
FL41,2,2018,75,100,92,0.029,0.039,0.016,0.323,0.057,0.223,0.551,0.369,5.1,6.3,1212,1.956,1,28,Jan 30 2018 12:00AM,Feb 27 2018 12:00AM
FL41,3,2018,20,100,35,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,672.9,2.876,1,35,Feb 27 2018 12:00AM,Apr  3 2018 12:00AM
FL41,4,2018,50,100,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4456.7,7.029,2,28,Apr  3 2018 12:00AM,May  1 2018 12:00AM
FL41,5,2018,100,100,100,0.032,0.021,0.015,0.173,0.097,0.363,0.313,0.274,5.165,4.938,23946.3,37.109,4,28,May  1 2018 12:00AM,May 29 2018 12:00AM
FL41,6,2018,80,100,77,0.178,0.047,0.023,0.297,0.124,0.922,0.513,0.546,5.005,8.236,6767.7,12.979,4,35,May 29 2018 12:00AM,Jul  3 2018 12:00AM
FL41,7,2018,100,100,100,0.104,0.03,0.016,0.22,0.109,0.703,0.393,0.432,4.993,7.224,17928.1,27.178,4,28,Jul  3 2018 12:00AM,Jul 31 2018 12:00AM
